V1,V3,V4,gene1,gene2,hct116.T21.gi.GEMINI,GM.T15.gi.GEMINI,hct116.significant.GEMINI,GM12878.significant.GEMINI
choose,ENSG00000164070,ENSG00000170606,HSPA4L,HSPA4,-0.437,0.072,N,N
choose,ENSG00000163637,ENSG00000012211,PRICKLE2,PRICKLE3,0.007,0.294,N,N
choose,ENSG00000136854,ENSG00000076944,STXBP1,STXBP2,-0.095,0.018,N,N
choose,ENSG00000095794,ENSG00000123268,CREM,ATF1,0.154,-0.614,N,N
choose,ENSG00000172292,ENSG00000139624,CERS6,CERS5,-0.395,-0.04,N,N
choose,ENSG00000131650,ENSG00000183762,KREMEN2,KREMEN1,0.409,0.67,N,N
choose,ENSG00000169490,ENSG00000184277,TM2D2,TM2D3,0.101,0.12,N,N
choose,ENSG00000162616,ENSG00000132002,DNAJB4,DNAJB1,0.119,0.045,N,N
gi2,ENSG00000182866,ENSG00000009724,LCK,MASP2,0.029,0.044,N,N
choose,ENSG00000133812,ENSG00000100241,SBF2,SBF1,0.532,-0.026,N,N
choose,ENSG00000143674,ENSG00000130758,MLK4,MAP3K10,0.057,0.182,N,N
choose,ENSG00000077454,ENSG00000136141,LRCH4,LRCH1,-0.226,-0.407,N,N
choose,ENSG00000185896,ENSG00000005893,LAMP1,LAMP2,0.039,0.256,N,N
choose,ENSG00000074211,ENSG00000156475,PPP2R2C,PPP2R2B,0.158,-0.119,N,N
choose,ENSG00000198478,ENSG00000131171,SH3BGRL2,SH3BGRL,0.072,0.109,N,N
gi2,ENSG00000002726,ENSG00000158571,AOC1,PFKFB1,0.05,-0.045,N,N
choose,ENSG00000159346,ENSG00000006831,ADIPOR1,ADIPOR2,0.141,0.49,N,N
choose,ENSG00000005059,ENSG00000156026,CCDC109B,MCU,-0.001,-0.078,N,N
choose,ENSG00000092969,ENSG00000105329,TGFB2,TGFB1,-0.199,0.729,N,N
choose,ENSG00000170234,ENSG00000171813,PWWP2A,PWWP2B,-0.172,-0.345,N,N
choose,ENSG00000158006,ENSG00000146070,PAFAH2,PLA2G7,-0.063,-0.035,N,N
choose,ENSG00000083123,ENSG00000168291,BCKDHB,PDHB,-0.069,-0.132,N,N
choose,ENSG00000149256,ENSG00000009694,TENM4,TENM1,0.227,0.019,N,N
choose,ENSG00000138668,ENSG00000197451,HNRNPD,HNRNPAB,-0.398,0.297,N,N
choose,ENSG00000089723,ENSG00000167770,OTUB2,OTUB1,0.27,0.264,N,N
choose,ENSG00000101844,ENSG00000168397,ATG4A,ATG4B,0.019,0.179,N,N
choose,ENSG00000172164,ENSG00000101400,SNTB1,SNTA1,-0.302,-0.05,N,N
