"","V1","V2","V3","V4","hct116.T21.gi","hct116.T21.gi.sd","qvalue.x","significant.x","GM.T15.gi","GM.T15.gi.sd","qvalue.y","significant.y","genename.x","genename.y","gi"
"585","choose","pair","ENSG00000135083","ENSG00000107443",0.136694512060165,0.211268806150287,0.999999999999713,"N",0.124351304382978,0.280233992799915,0.999999997646874,"N","CCNJL","CCNJ","others"
"586","choose","pair","ENSG00000147535","ENSG00000203805",0.139645322623497,0.299566297325472,0.999999999999713,"N",0.308469149725285,0.385318201798956,0.999999997646874,"N","PPAPDC1B","PPAPDC1A","others"
"587","gi2","pair","ENSG00000253729","ENSG00000100300",0.141973489729657,0.233519138695397,0.999999999999713,"N",0.398691419782274,0.308798827540643,0.999999997646874,"N","PRKDC","TSPO","others"
"588","choose","pair","ENSG00000163935","ENSG00000198879",0.14225709824493,0.253713760893233,0.999999999999713,"N",0.324453138252066,0.325834033761406,0.999999997646874,"N","SFMBT1","SFMBT2","others"
"589","choose","pair","ENSG00000007255","ENSG00000182400",0.147831152296488,0.148437012931081,0.999999999999713,"N",-0.0121420326751239,0.194043508147233,0.999999997646874,"N","TRAPPC6A","TRAPPC6B","others"
"590","choose","pair","ENSG00000066923","ENSG00000101972",0.14874485393257,0.204524797041631,0.999999999999713,"N",0.464079106768007,0.230883349200676,0.999999997646874,"N","STAG3","STAG2","others"
"591","choose","pair","ENSG00000081277","ENSG00000184363",0.149070030647385,0.326537213853714,0.999999999999713,"N",0.221061725046234,0.354233118546897,0.999999997646874,"N","PKP1","PKP3","others"
"592","choose","pair","ENSG00000104388","ENSG00000129472",0.14948226002567,0.252757223537904,0.999999999999713,"N",0.0137094219337474,0.347465056420985,0.999999997646874,"N","RAB2A","RAB2B","others"
"593","choose","pair","ENSG00000144290","ENSG00000033867",0.150466800464712,0.340722920583772,0.999999999999713,"N",0.254429158034027,0.394523961824835,0.999999997646874,"N","SLC4A10","SLC4A7","others"
"594","choose","pair","ENSG00000126821","ENSG00000163082",0.152430722741226,0.177973351472565,0.999999999999713,"N",0.0106243739402316,0.234781872855237,0.999999997646874,"N","SGPP1","SGPP2","others"
"595","choose","pair","ENSG00000187257","ENSG00000081019",0.154976955512115,0.273803301674681,0.999999999999713,"N",0.100565090943062,0.375061358725744,0.999999997646874,"N","RSBN1L","RSBN1","others"
"596","choose","pair","ENSG00000215897","ENSG00000130584",0.156506083434615,0.216056665845325,0.999999999999713,"N",0.316580690290012,0.288320782715096,0.999999997646874,"N","ZBTB8B","ZBTB46","others"
"597","choose","pair","ENSG00000113580","ENSG00000082175",0.157124113742011,0.232839868601033,0.999999999999713,"N",0.619186772105095,0.402891155219507,0.999999997646874,"N","NR3C1","PGR","others"
"598","choose","pair","ENSG00000171316","ENSG00000124177",0.157867270148814,0.129646180892405,0.999999999999713,"N",0.201704762471704,0.206676366693316,0.999999997646874,"N","CHD7","CHD6","others"
"599","choose","pair","ENSG00000096433","ENSG00000123104",0.160608701085026,0.318542876328517,0.999999999999713,"N",0.62131656012055,0.406739641435785,0.999999997646874,"N","ITPR3","ITPR2","others"
"600","gi2","pair","ENSG00000173020","ENSG00000148218",0.161319372540307,0.142800436706656,0.999999999999713,"N",0.0991906719177191,0.186936024375767,0.999999997646874,"N","ADRBK1","ALAD","others"
"601","choose","pair","ENSG00000143466","ENSG00000183735",0.163888312350309,0.227396505116333,0.999999999999713,"N",0.273607369950668,0.296182621781377,0.999999997646874,"N","IKBKE","TBK1","others"
"602","choose","pair","ENSG00000175984","ENSG00000166444",0.164023640666871,0.321847830505912,0.999999999999713,"N",0.638256888655908,0.384888759929268,0.999999997646874,"N","DENND2C","ST5","others"
"603","choose","pair","ENSG00000075340","ENSG00000148700",0.164599301140227,0.197978532646444,0.999999999999713,"N",0.695973196781029,0.255230154891967,0.999999997646874,"N","ADD2","ADD3","others"
"604","choose","pair","ENSG00000117069","ENSG00000160408",0.165524426250675,0.248841650056248,0.999999999999713,"N",0.0354294606874597,0.282478699068461,0.999999997646874,"N","ST6GALNAC5","ST6GALNAC6","others"
"605","gi1","pair","ENSG00000171552","ENSG00000143384",0.165733135864851,0.332908723773361,0.999999999999713,"N",0.479270760115187,0.636518771554993,0.999999997646874,"N","BCL2L1","MCL1","others"
"606","choose","pair","ENSG00000205309","ENSG00000125458",0.166409820961697,0.211504508223888,0.999999999999713,"N",0.0100935265960503,0.232431420107221,0.999999997646874,"N","NT5M","NT5C","others"
"607","choose","pair","ENSG00000163113","ENSG00000118503",0.166615553398959,0.282186706206325,0.999999999999713,"N",0.328283342462502,0.357952661393215,0.999999997646874,"N","OTUD7B","TNFAIP3","others"
"608","choose","pair","ENSG00000033122","ENSG00000112851",0.16724188752747,0.351849783350297,0.999999999999713,"N",0.91454880477325,0.393482696601694,0.999999997646874,"N","LRRC7","ERBB2IP","others"
"609","choose","pair","ENSG00000132326","ENSG00000179094",0.168272246523351,0.207991660195195,0.999999999999713,"N",-0.000448012765909223,0.334992312346924,0.999999997646874,"N","PER2","PER1","others"
"610","gi2","pair","ENSG00000182866","ENSG00000133056",0.168516576759721,0.175162366492049,0.999999999999713,"N",0.0806045089657086,0.229871375104953,0.999999997646874,"N","LCK","PIK3C2B","others"
